task_id,source_scan_count,scanner_type,scanner_code,priority,disposition,confidence,affected_paths,source_lines,root_cause,concrete_action,regression_prevention,rule_candidate,acceptance_criteria,status,notes
WPPC-001,1,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,P1,FIX_CONTEXT_CONTRACT,high,plugin/gloskin-site-core/templates/parts/header.php,96,"Header echoes mini_cart HTML without an explicit trusted-renderer contract, so Plugin Check cannot prove the already-escaped adapter HTML is safe.",Keep WooCommerce Adapter as the sole mini-cart HTML renderer. Do not blanket wp_kses_post() if it strips Woo data attributes. Add a narrowly justified PHPCS suppression at the call site only after confirming every dynamic value in render_mini_cart_body() is escaped/kses-ed. Prefer renaming context key to mini_cart_html only if it improves clarity without churn.,Add a focused static/runtime contract proving mini-cart dynamic name/url/variation/price/subtotal are escaped or kses-ed and header never echoes arbitrary user/meta HTML.,Trusted HTML may be emitted unescaped only when produced by a canonical Gloskin/Woo renderer that escapes all dynamic values; the call site must carry a narrow documented suppression.,Plugin Check no longer reports this finding; cart fragments/remove links still work; no data-* attributes are stripped.,OPEN,"Not currently evidence of exploitable XSS because renderer escapes dynamic values; treat as trust-boundary hardening, not redesign."
WPPC-002,4,WARNING,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,P1,FIX,high,plugin/gloskin-site-core/includes/class-gloskin-site-core-admin-service.php,183-185,"save_meta() reads dynamic $_POST values and relies on registered post-meta sanitizers during update_post_meta(), but the sanitization boundary is implicit and invisible to static analysis.","Make sanitization explicit before persistence. Reuse registered meta contracts via sanitize_meta($key, $value, 'post', $post->post_type) or an equally native field-aware path; keep nonce/capability checks. Do not duplicate sanitization rules in a parallel schema.",Add admin-meta contract test: unslashed posted strings/arrays/integers are passed through registered/native sanitization before update_post_meta(); nonce/capability remain mandatory.,State-changing admin input must be explicitly validated/sanitized before persistence even when registered meta also sanitizes on write.,Four scanner warnings disappear; existing rich text/URLs/phones/relationships/gallery/meta behavior remains unchanged.,OPEN,Current registered meta callbacks are a mitigating control; this task makes the input boundary explicit.
WPPC-003,1,WARNING,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,P2,FIX,high,plugin/gloskin-site-core/includes/class-gloskin-site-core-navigation-service.php,179,REQUEST_URI is unslashed and compared for active-path detection without an explicit sanitization step.,Sanitize the unslashed REQUEST_URI with an appropriate text/path-safe WordPress sanitizer before strtok/path comparison. Do not change routing or introduce redirect logic.,Add navigation contract for query strings and hostile/encoded request input; active item calculation must remain deterministic and output-free.,"Superglobal reads must be unslashed then sanitized before use, including non-output comparison paths.",Warning disappears; fallback navigation active-state behavior is unchanged for normal routes and query strings.,OPEN,
WPPC-004,16,ERROR,WordPress.WP.I18n.MissingTranslatorsComment,P2,FIX_MECHANICAL,high,templates/parts/header.php; templates/parts/template-helpers.php; templates/pages/shop.php; templates/pages/clinic.php; includes/class-gloskin-site-core-admin-service.php; includes/class-gloskin-site-core-content-service.php; includes/class-gloskin-site-core-woocommerce-adapter.php,"header 23,48; template-helpers 282,283; shop 6; clinic 11; admin 83,203; content 77-80; woo-adapter 366,408,796,797",Translated strings containing sprintf placeholders lack immediately preceding translators comments.,Add precise /* translators: ... */ comments immediately above each placeholder-bearing translation call. Refactor compressed one-line statements only as much as needed for a valid adjacent comment; do not change user-facing copy.,Run Plugin Check/PHPCS as release gate; optionally add a lightweight assertion that known placeholder strings retain translators comments.,Every translatable string containing placeholders must have an adjacent translators comment explaining each placeholder.,All 16 findings disappear with identical rendered copy.,OPEN,
WPPC-005,42,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,P2,FIX_MECHANICAL,high,templates/parts/header.php; templates/pages/shop.php; templates/pages/clinic.php; templates/shell.php; templates/parts/mobile-drawer.php; templates/parts/footer.php; templates/pages/home.php; templates/pages/contact.php; templates/pages/treatment.php; templates/pages/clinics.php; templates/pages/skincare-category.php; templates/pages/doctor.php; templates/pages/about.php; templates/pages/skincare.php,see source scan; 42 top-level template locals,"PHP templates execute at include scope, so ordinary local-looking variables are globals to WPCS unless prefixed.",Mechanically rename top-level template variables and foreach aliases to $gloskin_* names. Do not wrap templates in new classes/functions and do not alter context keys or markup.,Add template-prefix static check or rely on Plugin Check gate; smoke-render key templates after rename.,Every variable introduced at top level in plugin template files must use the gloskin_ prefix; function-local variables are exempt.,All 42 warnings disappear; rendered HTML is byte/behavior equivalent apart from whitespace.,OPEN,Low-risk high-volume cleanup; do in one coherent mechanical pass.
WPPC-006,1,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedHooknameFound,P3,ACCEPT_WITH_LOCAL_SUPPRESSION,high,plugin/gloskin-site-core/templates/parts/template-helpers.php,452,"Plugin Check sees apply_filters('the_content', ...) as an unprefixed plugin hook, but the_content is a WordPress core hook intentionally invoked for canonical page content rendering.",Do NOT rename the hook. Add a narrow PHPCS suppression on that invocation with a comment stating it is the WordPress core the_content filter.,Add contract asserting the canonical core the_content filter remains invoked and no Gloskin duplicate content hook is introduced.,First-party hooks must be prefixed; deliberate calls to documented WordPress/Woo core hooks are exempt and require a local justification when a sniff cannot infer ownership.,Finding is suppressed/closed while core content filtering behavior remains intact.,OPEN,"True false-positive by ownership, not a code defect."
WPPC-007,61,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,P2,ACCEPT_WITH_SCOPED_SUPPRESSION_AND_TEST,high,plugin/gloskin-site-core/includes/class-gloskin-site-core-sample-product-bundle.php; plugin/gloskin-site-core/includes/class-gloskin-site-core-sample-product-importer.php,"bundle 84,94,133,144,170,173,190,202,349,352,359,366,370,387,422,426,438,461,474,478,482,486; importer 188,188,350,357,360,370,386,472,479,482,496,510,515,526,526,535,535,554,558,558,578,581,584,627,627,661,661,714,723,730,737,742,748,753,761,772,838,844,854","WPCS treats dynamic RuntimeException messages as output, but these importer exceptions are transport-neutral domain errors. The admin AJAX boundary JSON-encodes them and the admin JS renders error.message with textContent, while server-rendered last_error uses esc_html(). Escaping inside the domain exception would encode transport semantics too early.","Do NOT esc_html() exception payloads in the importer/bundle. Add one narrowly scoped phpcs:disable/enable for ExceptionNotEscaped around the relevant class/body with a strong rationale, or equivalent minimal suppressions. Preserve strict bundle validation.","Add error-boundary contract proving AJAX errors are JSON responses, admin JS uses textContent (never innerHTML), and server-rendered last_error uses esc_html().","Escape at the final output context, not inside domain exceptions. ExceptionNotEscaped may be suppressed only when every presentation boundary is separately proven safe.",61 scanner errors are intentionally suppressed/closed without HTML entities leaking into JSON messages; importer error UX remains readable and safe.,OPEN,Do not cargo-cult escape RuntimeException strings; that would violate late-escaping discipline.
WPPC-008,4,ERROR,WordPress.WP.AlternativeFunctions.unlink_unlink + WordPress.WP.AlternativeFunctions.file_system_operations_rmdir,P1,FIX_WITH_NARROW_EXCEPTION_IF_REQUIRED,high,plugin/gloskin-site-core/includes/class-gloskin-site-core-sample-product-bundle.php; plugin/gloskin-site-core/includes/class-gloskin-site-core-sample-product-importer.php,"bundle 234,242,245; importer 534",Temporary/runtime cleanup uses direct unlink()/rmdir() despite WordPress filesystem APIs.,"Replace file deletes with wp_delete_file(). For the fixed confined runtime directory, prefer the smallest WordPress-native directory removal that does not introduce credential prompts or a new filesystem service; if WP_Filesystem would make this one-shot AJAX cleanup less reliable, retain only the directory rmdir with a narrowly documented suppression after all declared files are removed.",Extend sample-import cleanup contract: only confined runtime paths are removed; consumed state persists before cleanup; cleanup failure stays non-destructive; no direct unlink remains.,Use WordPress file deletion APIs for files. Direct directory removal is allowed only for a fixed confined one-shot runtime path with an explicit documented exception when WP_Filesystem would alter runtime semantics.,No direct unlink findings; directory finding is either eliminated safely or explicitly justified; cleanup/retry/consumed contracts remain green.,OPEN,Do not create a generic filesystem abstraction.
WPPC-009,2,ERROR,WordPress.WP.AlternativeFunctions.parse_url_parse_url,P1,FIX,high,plugin/gloskin-site-core/includes/class-gloskin-site-core-sample-product-bundle.php,420-421,Bundle URL validation uses PHP parse_url() instead of WordPress wp_parse_url().,Replace parse_url() with wp_parse_url() while preserving the same host/path validation and rejection behavior.,"Add/retain bundle validation cases for malformed URL, wrong host, and valid HTTPS source URL.",Use wp_parse_url() for WordPress plugin URL parsing.,Both findings disappear; bundle source URL validation behavior is unchanged.,OPEN,Straight low-risk fix.
WPPC-010,5,ERROR,WordPressVIPMinimum.Performance.WPQueryParams.SuppressFilters_suppress_filters,P2,FIX,high,plugin/gloskin-site-core/includes/class-gloskin-site-core-sample-product-importer.php,"678,697,795,806,817","Five get_posts() calls explicitly set suppress_filters => true; for get_posts this is already the default, so the explicit prohibited argument adds no behavior.",Remove only the explicit suppress_filters => true keys. Do not replace these lookups with raw SQL or new query infrastructure.,Importer contract must still find at most the expected source/bundle objects and preserve exact verification counts.,Do not set suppress_filters=true explicitly in first-party queries; rely on native defaults unless a documented integration requirement proves otherwise.,Five findings disappear; importer identity/verification tests remain green.,OPEN,Behavior-preserving cleanup.
